,time
0,1
1,7
2,16
3,22
4,25
5,26
6,27
7,29
8,30
9,31
10,33
11,37
12,38
13,39
14,41
15,42
16,43
17,44
18,45
19,47
20,48
21,49
22,51
23,52
24,53
25,55
26,56
27,57
28,58
29,59
30,60
31,62
32,63
33,64
34,67
35,68
36,69
37,70
38,72
39,74
40,75
41,79
42,84
43,92
44,94
45,98
46,103
47,104
48,117
49,119
50,123
51,128
52,131
53,132
54,133
55,134
56,141
57,146
58,151
59,157
60,158
61,162
62,164
63,169
64,171
65,172
66,173
67,174
68,180
69,183
70,186
71,189
72,191
73,193
74,195
75,197
76,198
77,199
78,200
79,201
80,203
81,205
82,206
83,209
84,212
85,214
86,216
87,224
88,225
89,226
90,227
91,229
92,231
93,233
94,236
95,242
96,243
97,245
98,246
99,247
100,248
101,249
102,252
103,256
104,257
105,261
106,276
107,278
108,282
109,285
110,286
111,293
112,296
113,298
114,299
115,300
116,301
117,302
118,311
119,312
120,314
121,320
122,321
123,322
124,323
125,324
126,325
127,326
128,327
129,328
130,329
131,330
132,331
133,332
134,333
135,334
136,335
137,336
138,337
139,338
140,339
141,340
142,341
143,342
144,343
145,344
146,345
147,346
148,347
149,348
150,349
151,350
152,351
153,352
154,353
155,354
156,356
157,358
158,360
159,362
160,363
161,375
162,379
163,385
164,386
165,387
166,388
167,390
168,392
169,393
170,395
171,400
172,401
173,404
174,408
175,409
176,410
177,411
178,412
179,413
180,415
181,418
182,419
183,421
184,422
185,423
186,424
187,428
188,432
189,439
190,446
191,452
192,453
193,454
194,455
195,456
196,457
197,458
198,459
199,461
200,463
201,464
202,468
203,471
204,473
205,475
206,476
207,478
208,479
209,480
210,485
211,493
212,495
213,498
214,499
215,504
216,522
217,551
218,562
219,567
220,571
221,575
222,577
223,578
224,580
225,587
226,589
227,590
228,591
229,593
230,595
231,596
232,597
233,621
234,629
235,631
236,632
237,633
238,634
239,635
240,636
241,637
242,638
243,639
244,640
245,641
246,642
247,643
248,644
249,645
250,646
251,647
252,648
253,649
254,650
255,651
256,652
257,653
258,654
259,655
260,656
261,657
262,658
263,659
264,660
265,661
266,662
267,663
268,664
269,665
270,666
271,667
272,668
273,669
274,670
275,671
276,672
277,673
278,674
279,675
280,676
281,677
282,678
283,679
284,680
285,681
286,682
287,683
288,684
289,685
290,686
291,687
292,688
293,689
294,690
295,691
296,692
297,693
298,694
299,695
300,696
301,697
302,698
303,699
304,700
305,701
306,702
307,703
308,704
309,705
310,706
311,707
312,708
313,709
314,710
315,711
316,712
317,713
318,714
319,715
320,716
321,717
322,718
323,719
324,720
325,721
326,722
327,723
328,726
329,728
330,729
331,730
332,731
333,732
334,733
335,734
336,735
337,736
338,737
339,738
340,739
341,740
342,741
343,742
344,743
345,744
346,745
347,746
348,747
349,748
350,749
351,750
352,751
353,752
354,753
355,754
356,755
357,756
358,757
359,758
360,759
361,760
362,761
363,762
364,763
365,764
366,765
367,766
368,767
369,768
370,769
371,770
372,771
373,772
374,773
375,774
376,775
377,776
378,777
379,778
380,779
381,780
382,781
383,782
384,783
385,784
386,785
387,786
388,787
389,788
390,789
391,790
392,791
393,792
394,793
395,794
396,795
397,796
398,797
399,798
400,799
401,800
402,801
403,803
404,804
405,805
406,806
407,807
408,808
409,809
410,810
411,811
412,812
413,813
414,814
415,815
416,816
417,817
418,818
419,819
420,820
421,821
422,822
423,823
424,824
425,825
426,826
427,827
428,828
429,829
430,830
431,831
432,832
433,833
434,834
435,835
436,836
437,837
438,838
439,839
440,840
441,841
442,842
443,843
444,844
445,845
446,846
447,847
448,848
449,849
450,850
451,851
452,852
453,853
454,854
455,855
456,856
457,857
458,858
459,859
460,860
461,861
462,862
463,863
464,864
465,865
466,866
467,867
468,868
469,869
470,870
471,871
472,872
473,873
474,874
475,875
476,876
477,877
478,878
479,879
480,880
481,881
482,882
483,883
484,884
485,885
486,886
487,887
488,891
489,893
490,894
491,895
492,911
493,912
494,915
495,917
496,921
497,923
498,927
499,935
500,939
501,942
502,944
503,945
504,947
505,949
506,954
507,955
508,959
509,961
510,964
511,968
512,969
513,971
514,976
515,978
516,984
517,985
518,986
519,987
520,990
521,1026
522,1029
523,1033
524,1034
525,1037
526,1038
527,1039
528,1041
529,1042
530,1043
531,1045
532,1046
533,1047
534,1049
535,1052
536,1053
537,1054
538,1058
539,1062
540,1063
541,1066
542,1067
543,1081
544,1083
545,1089
546,1091
547,1094
548,1095
549,1096
550,1098
551,1099
552,1100
553,1101
554,1103
555,1109
556,1110
557,1133
558,1134
559,1135
560,1148
561,1150
562,1156
563,1158
564,1160
565,1161
566,1166
567,1167
568,1174
569,1175
570,1177
571,1179
572,1183
573,1190
574,1193
575,1194
576,1195
577,1199
578,1207
579,1210
580,1216
581,1225
582,1228
583,1232
584,1236
585,1241
586,1242
587,1243
588,1247
589,1253
590,1258
591,1259
592,1261
593,1263
594,1264
595,1266
596,1268
597,1270
598,1278
599,1283
600,1284
601,1289
602,1291
603,1293
604,1301
605,1302
606,1304
607,1305
608,1306
609,1307
610,1310
611,1312
612,1316
613,1318
614,1319
615,1320
616,1321
617,1322
618,1323
619,1324
620,1325
621,1326
622,1328
623,1329
624,1338
625,1385
626,1389
627,1391
628,1398
629,1401
630,1402
631,1403
632,1408
633,1410
634,1411
635,1412
636,1413
637,1414
638,1416
639,1418
640,1419
641,1420
642,1421
643,1423
644,1426
645,1427
646,1428
647,1430
648,1432
649,1433
650,1439
651,1440
652,1441
653,1446
654,1452
655,1459
656,1478
657,1483
658,1484
659,1485
660,1490
661,1493
662,1497
663,1498
664,1504
665,1506
666,1508
667,1511
668,1512
669,1517
670,1523
671,1542
672,1546
673,1553
674,1555
675,1560
676,1564
677,1565
678,1568
679,1570
680,1575
681,1579
682,1580
683,1583
684,1586
685,1587
686,1593
687,1594
688,1600
689,1605
690,1607
691,1608
692,1610
693,1611
694,1614
695,1615
696,1623
697,1625
698,1632
699,1655
700,1659
701,1663
702,1670
703,1671
704,1673
705,1677
706,1687
707,1688
708,1692
709,1693
710,1694
711,1695
712,1702
713,1709
714,1732
715,1735
716,1750
717,1754
718,1756
719,1758
720,1759
721,1760
722,1762
723,1763
724,1764
725,1765
726,1766
727,1767
728,1769
729,1770
730,1771
731,1773
732,1774
733,1775
734,1776
735,1777
736,1778
737,1780
738,1781
739,1782
740,1783
741,1787
742,1788
743,1789
744,1790
745,1791
746,1792
747,1793
748,1794
749,1796
750,1802
751,1805
752,1806
753,1807
754,1816
755,1843
756,1852
757,1853
758,1854
759,1859
760,1861
761,1862
762,1868
763,1870
764,1871
765,1873
766,1874
767,1875
768,1876
769,1878
770,1879
771,1884
772,1889
773,1890
774,1891
775,1896
776,1898
777,1899
778,1901
779,1903
780,1904
781,1908
782,1911
783,1913
784,1916
785,1919
786,1920
787,1943
788,1953
789,1955
790,1957
791,1966
792,1973
793,1976
794,1977
795,1981
796,1982
797,1986
798,1987
799,1990
800,1993
801,1999
802,2000
803,2005
804,2008
805,2009
806,2012
807,2017
808,2018
809,2019
810,2022
811,2024
812,2025
813,2026
814,2027
815,2030
816,2031
817,2032
818,2034
819,2035
820,2036
821,2037
822,2038
823,2039
824,2046
825,2047
826,2049
827,2050
828,2051
829,2052
830,2054
831,2055
832,2056
833,2059
834,2060
835,2062
836,2063
837,2072
838,2073
839,2074
840,2079
841,2081
842,2082
843,2084
844,2087
845,2088
846,2091
847,2094
848,2101
849,2105
850,2107
851,2109
852,2112
853,2114
854,2116
855,2117
856,2120
857,2123
858,2124
859,2126
860,2129
861,2136
862,2145
863,2148
864,2154
865,2159
866,2168
867,2171
868,2172
869,2173
870,2201
871,2205
872,2206
873,2210
874,2214
875,2216
876,2217
877,2224
878,2233
879,2239
880,2243
881,2244
882,2245
883,2246
884,2248
885,2249
886,2250
887,2259
888,2261
889,2264
890,2265
891,2267
892,2268
893,2271
894,2274
895,2277
896,2287
897,2292
898,2294
899,2297
900,2298
901,2299
902,2300
903,2301
904,2306
905,2308
906,2310
907,2313
908,2314
909,2315
910,2318
911,2321
912,2322
913,2325
914,2327
915,2330
916,2331
917,2333
918,2336
919,2348
920,2352
921,2353
922,2357
923,2359
924,2361
925,2363
926,2396
927,2397
928,2398
929,2399
930,2510
931,2512
932,2513
933,2514
934,2516
935,2518
936,2519
937,2520
938,2521
939,2522
940,2523
941,2524
942,2526
943,2527
944,2545
945,2546
946,2549
947,2555
948,2558
949,2561
950,2562
951,2563
952,2565
953,2566
954,2570
955,2573
956,2574
957,2575
958,2577
959,2579
960,2580
961,2587
962,2588
963,2597
964,2598
965,2601
966,2603
967,2607
968,2609
969,2610
970,2614
971,2618
972,2620
973,2621
974,2623
975,2625
976,2626
977,2627
978,2632
979,2634
980,2636
981,2638
982,2651
983,2659
984,2663
985,2666
986,2672
987,2675
988,2678
989,2679
990,2682
991,2686
992,2687
993,2688
994,2690
995,2693
996,2695
997,2696
998,2697
999,2698
1000,2701
1001,2709
1002,2717
1003,2719
1004,2721
1005,2723
1006,2724
1007,2725
1008,2727
1009,2728
1010,2729
1011,2731
1012,2732
1013,2733
1014,2734
1015,2735
1016,2736
1017,2737
1018,2738
1019,2739
1020,2740
1021,2741
1022,2742
1023,2743
1024,2744
1025,2745
1026,2746
1027,2747
1028,2748
1029,2749
1030,2750
1031,2751
1032,2752
1033,2753
1034,2754
1035,2755
1036,2756
1037,2757
1038,2758
1039,2759
1040,2760
