,time
0,2
1,24
2,25
3,26
4,27
5,28
6,56
7,57
8,59
9,61
10,62
11,64
12,65
13,66
14,69
15,70
16,71
17,72
18,74
19,75
20,76
21,77
22,78
23,79
24,80
25,81
26,82
27,83
28,84
29,88
30,93
31,99
32,101
33,105
34,106
35,107
36,110
37,113
38,114
39,115
40,116
41,117
42,118
43,119
44,120
45,123
46,124
47,131
48,133
49,134
50,135
51,147
52,148
53,149
54,153
55,156
56,157
57,158
58,159
59,177
60,180
61,182
62,190
63,193
64,194
65,195
66,196
67,197
68,198
69,200
70,201
71,203
72,206
73,207
74,208
75,210
76,211
77,212
78,213
79,214
80,215
81,216
82,217
83,218
84,220
85,221
86,223
87,224
88,225
89,226
90,228
91,229
92,230
93,231
94,232
95,233
96,234
97,235
98,239
99,240
100,246
101,248
102,252
103,253
104,259
105,331
106,333
107,334
108,335
109,336
110,341
111,345
112,346
113,348
114,351
115,353
116,355
117,356
118,357
119,358
120,359
121,360
122,362
123,363
124,364
125,366
126,367
127,368
128,371
129,372
130,373
131,374
132,375
133,376
134,377
135,378
136,380
137,381
138,382
139,385
140,389
141,391
142,393
143,394
144,396
145,397
146,398
147,399
148,400
149,406
150,407
151,410
152,426
153,430
154,433
155,438
156,439
157,442
158,445
159,451
160,454
161,455
162,461
163,463
164,465
165,466
166,470
167,471
168,477
169,478
170,481
171,482
172,491
173,493
174,514
175,516
176,518
177,520
178,521
179,527
180,529
181,532
182,537
183,540
184,541
185,550
186,551
187,552
188,553
189,554
190,556
191,557
192,558
193,560
194,561
195,564
196,568
197,570
198,572
199,580
200,593
201,594
202,595
203,596
204,597
205,598
206,599
207,600
208,601
209,602
210,603
211,604
212,605
213,606
214,607
215,608
216,609
217,610
218,611
219,612
220,613
221,614
222,615
223,616
224,617
225,618
226,619
227,620
228,621
229,622
230,623
231,624
232,627
233,628
234,632
235,634
236,636
237,638
238,643
239,650
240,652
241,653
242,654
243,655
244,656
245,660
246,662
247,665
248,667
249,668
250,670
251,673
252,676
253,679
254,682
255,683
256,689
257,690
258,692
259,693
260,694
261,696
262,697
263,698
264,699
265,700
266,702
267,764
268,766
269,767
270,768
271,770
272,771
273,772
274,774
275,775
276,776
277,777
278,778
279,779
280,780
281,781
282,784
283,785
284,786
285,788
286,790
287,791
288,792
289,793
290,796
291,797
292,798
293,804
294,805
295,806
296,807
297,808
298,810
299,814
300,824
301,826
302,834
303,836
304,841
305,845
306,851
307,854
308,855
309,864
310,865
311,876
312,877
313,880
314,881
315,882
316,889
317,891
318,900
319,904
320,905
321,908
322,914
323,920
324,929
325,931
326,941
327,942
328,946
329,948
330,949
331,950
332,952
333,954
334,955
335,956
336,962
337,969
338,972
339,974
340,975
341,977
342,978
343,980
344,983
345,984
346,987
347,989
348,991
349,992
350,999
351,1000
352,1001
353,1003
354,1009
355,1020
356,1038
357,1039
358,1041
359,1043
360,1044
361,1045
362,1048
363,1049
364,1050
365,1053
366,1055
367,1057
368,1061
369,1062
370,1063
371,1069
372,1071
373,1077
374,1078
375,1079
376,1081
377,1084
378,1087
379,1093
380,1094
381,1095
382,1101
383,1102
384,1105
385,1106
386,1119
387,1123
388,1124
389,1126
390,1127
391,1128
392,1131
393,1132
394,1141
395,1144
396,1145
397,1152
398,1155
399,1156
400,1158
401,1160
402,1161
403,1162
404,1163
405,1164
406,1165
407,1166
408,1168
409,1174
410,1175
411,1176
412,1179
413,1181
414,1182
415,1184
416,1185
417,1187
418,1189
419,1190
420,1194
421,1195
422,1196
423,1200
424,1202
425,1207
426,1208
427,1212
428,1215
429,1217
430,1218
431,1226
432,1228
433,1233
434,1236
435,1240
436,1244
437,1254
438,1258
439,1259
440,1260
441,1271
442,1272
443,1278
444,1279
445,1281
446,1283
447,1285
448,1291
449,1292
450,1293
451,1294
452,1295
453,1297
454,1298
455,1299
456,1301
457,1302
458,1303
459,1304
460,1306
461,1310
462,1311
463,1318
464,1319
465,1322
466,1331
467,1340
468,1342
469,1345
470,1347
471,1348
472,1350
473,1352
474,1353
475,1354
476,1355
477,1356
478,1358
479,1359
480,1360
481,1361
482,1362
483,1363
484,1364
485,1365
486,1368
487,1369
488,1371
489,1374
490,1375
491,1377
492,1380
493,1386
494,1388
495,1390
496,1392
497,1394
498,1397
499,1401
500,1404
501,1407
502,1408
503,1416
504,1418
505,1421
506,1423
507,1433
508,1437
509,1447
510,1448
511,1456
512,1457
513,1466
514,1472
515,1475
516,1480
517,1481
518,1482
519,1484
520,1489
521,1490
522,1491
523,1496
524,1499
525,1500
526,1511
527,1512
528,1515
529,1517
530,1519
531,1523
532,1524
533,1526
534,1527
535,1532
536,1546
537,1547
538,1571
539,1572
540,1575
541,1576
542,1578
543,1579
544,1586
545,1592
546,1606
547,1607
548,1611
549,1613
550,1615
551,1616
552,1617
553,1618
554,1619
555,1620
556,1621
557,1622
558,1623
559,1624
560,1625
561,1626
562,1627
563,1628
564,1629
565,1630
566,1631
567,1632
568,1633
569,1634
570,1635
571,1636
572,1637
573,1638
574,1639
575,1640
576,1641
577,1642
578,1643
579,1644
580,1645
581,1646
582,1647
583,1648
584,1649
585,1650
586,1651
587,1652
588,1653
589,1654
590,1655
591,1656
592,1657
593,1658
594,1659
595,1660
596,1661
597,1662
598,1663
599,1664
600,1665
601,1666
602,1667
603,1668
604,1669
605,1670
606,1671
607,1672
608,1673
609,1674
610,1675
611,1676
612,1677
613,1678
614,1680
615,1687
616,1692
617,1698
618,1707
619,1711
620,1713
621,1715
622,1716
623,1726
624,1735
625,1739
626,1741
627,1746
628,1750
629,1752
630,1753
631,1757
632,1758
633,1760
634,1761
635,1763
636,1764
637,1769
638,1770
639,1772
640,1773
641,1774
642,1775
643,1777
644,1778
645,1779
646,1783
647,1787
648,1790
649,1791
650,1793
651,1794
652,1796
653,1799
654,1800
655,1801
656,1802
657,1805
658,1806
659,1807
660,1810
661,1813
662,1819
663,1820
664,1824
665,1825
666,1827
667,1831
668,1835
669,1840
670,1843
671,1897
672,1905
673,1906
674,1907
675,1908
676,1909
677,1910
678,1911
679,1912
680,1914
681,1918
682,1919
683,1920
684,1921
685,1922
686,1923
687,1924
688,1925
689,1927
690,1928
691,1929
692,1930
693,1931
694,1934
695,1935
696,1938
697,1939
698,1940
699,1941
700,1942
701,1943
702,1944
703,1945
704,1946
705,1947
706,1948
707,1949
708,1951
709,1952
710,1955
711,1956
712,1960
713,1962
714,1963
715,1967
716,1968
717,1971
718,1972
719,1976
720,1977
721,1979
722,1981
723,1982
724,1983
725,1986
726,1989
727,1994
728,1999
729,2020
730,2021
731,2050
732,2051
733,2052
734,2053
735,2054
736,2056
737,2057
738,2065
739,2066
740,2068
741,2070
742,2071
743,2074
744,2075
745,2078
746,2080
747,2083
748,2084
749,2085
750,2086
751,2087
752,2088
753,2089
754,2096
755,2124
756,2125
757,2136
758,2138
759,2141
760,2148
761,2150
762,2152
763,2156
764,2157
765,2172
766,2191
767,2193
768,2195
769,2196
770,2197
771,2200
772,2209
773,2210
774,2213
775,2214
776,2215
777,2216
778,2217
779,2218
780,2219
781,2220
782,2221
783,2222
784,2223
785,2225
786,2226
787,2227
788,2228
789,2229
790,2230
791,2232
792,2233
793,2234
794,2236
795,2237
796,2239
797,2244
798,2261
799,2273
800,2274
801,2277
802,2283
803,2284
804,2285
805,2286
806,2287
807,2288
808,2289
809,2290
810,2291
811,2292
812,2293
813,2294
814,2295
815,2296
816,2297
817,2298
818,2299
819,2300
820,2302
821,2303
822,2304
823,2305
824,2306
825,2307
826,2308
827,2309
828,2310
829,2311
830,2312
831,2313
832,2314
833,2315
834,2317
835,2318
836,2321
837,2327
838,2329
839,2333
840,2336
841,2337
842,2342
843,2343
844,2346
845,2348
846,2354
847,2355
848,2363
849,2366
850,2368
851,2369
852,2370
853,2372
854,2373
855,2375
856,2378
857,2379
858,2381
859,2383
860,2384
861,2385
862,2388
863,2391
864,2393
865,2396
866,2398
867,2400
868,2401
869,2411
870,2415
871,2419
872,2424
873,2426
874,2431
875,2432
876,2434
877,2436
878,2438
879,2439
880,2441
881,2442
882,2443
883,2444
884,2445
885,2447
886,2448
887,2452
888,2458
889,2459
890,2463
891,2466
892,2467
893,2468
894,2470
895,2472
896,2473
897,2476
898,2480
899,2483
900,2489
901,2490
902,2492
903,2493
904,2502
905,2506
906,2507
907,2509
908,2510
909,2513
910,2514
911,2516
912,2523
913,2532
914,2544
915,2548
916,2551
917,2555
918,2557
919,2561
920,2562
921,2564
922,2566
923,2571
924,2572
925,2575
926,2578
927,2579
928,2581
929,2623
930,2650
931,2657
932,2659
933,2661
934,2662
935,2668
936,2671
937,2672
938,2673
939,2678
940,2684
941,2686
942,2689
943,2691
944,2699
945,2701
946,2714
947,2716
948,2717
949,2720
950,2733
951,2735
952,2741
953,2742
954,2743
955,2747
956,2748
957,2751
958,2757
959,2758
960,2773
961,2775
962,2778
963,2779
964,2798
965,2799
966,2808
967,2810
968,2811
969,2820
970,2822
971,2823
972,2824
973,2826
974,2827
975,2830
976,2832
977,2840
978,2843
979,2852
980,2854
981,2858
982,2860
983,2865
984,2867
985,2868
986,2870
987,2871
988,2888
989,2893
990,2897
991,2899
992,2902
993,2903
994,2907
995,2908
996,2909
997,2914
998,2917
999,2918
1000,2920
1001,2921
1002,2922
1003,2923
1004,2924
1005,2930
1006,2931
1007,2932
1008,2935
1009,2939
1010,2985
1011,2986
1012,2987
1013,2988
1014,2989
1015,2991
1016,2993
1017,2995
1018,2998
1019,3002
1020,3003
1021,3004
1022,3006
1023,3007
1024,3008
1025,3013
1026,3014
1027,3016
1028,3019
1029,3020
1030,3024
1031,3025
1032,3026
1033,3028
1034,3041
1035,3044
1036,3046
1037,3048
1038,3055
1039,3063
1040,3067
1041,3071
1042,3074
1043,3080
1044,3081
1045,3087
1046,3090
1047,3093
1048,3094
1049,3099
1050,3100
1051,3102
1052,3105
1053,3106
1054,3108
1055,3110
1056,3112
1057,3122
1058,3123
1059,3128
1060,3129
1061,3130
1062,3131
1063,3135
1064,3136
1065,3137
1066,3141
1067,3142
1068,3143
1069,3169
1070,3174
1071,3176
1072,3177
1073,3178
1074,3179
1075,3180
1076,3181
1077,3182
1078,3184
1079,3187
1080,3194
1081,3195
1082,3200
1083,3202
1084,3210
1085,3216
1086,3218
1087,3220
1088,3235
1089,3237
1090,3239
1091,3243
1092,3245
1093,3246
1094,3247
1095,3248
1096,3250
1097,3252
1098,3253
1099,3254
1100,3255
1101,3256
1102,3257
1103,3258
1104,3259
1105,3261
1106,3262
1107,3263
1108,3269
1109,3270
1110,3272
1111,3273
1112,3283
1113,3289
1114,3290
1115,3291
1116,3293
1117,3297
1118,3298
1119,3299
1120,3302
1121,3304
1122,3307
1123,3310
1124,3311
1125,3337
1126,3352
1127,3360
1128,3361
1129,3364
1130,3365
1131,3366
1132,3369
1133,3371
1134,3377
1135,3379
1136,3380
1137,3382
1138,3385
1139,3387
1140,3388
1141,3389
1142,3390
1143,3391
1144,3392
1145,3393
1146,3394
1147,3395
1148,3396
1149,3397
1150,3398
1151,3399
1152,3400
1153,3401
1154,3402
1155,3403
1156,3404
1157,3405
1158,3406
1159,3407
1160,3408
1161,3409
1162,3410
1163,3411
1164,3412
1165,3413
1166,3414
1167,3415
1168,3416
1169,3417
1170,3418
1171,3419
1172,3420
1173,3421
1174,3422
1175,3423
1176,3424
1177,3425
1178,3426
1179,3427
1180,3428
1181,3429
1182,3430
1183,3431
1184,3432
1185,3433
1186,3434
1187,3435
1188,3436
1189,3437
1190,3438
1191,3439
1192,3440
1193,3441
1194,3442
1195,3443
1196,3444
1197,3445
1198,3448
1199,3450
1200,3451
1201,3455
1202,3456
1203,3457
1204,3458
1205,3459
1206,3460
1207,3461
1208,3462
1209,3463
1210,3464
1211,3465
1212,3466
1213,3467
1214,3468
1215,3469
1216,3470
1217,3471
1218,3475
1219,3477
1220,3497
1221,3503
1222,3537
1223,3557
1224,3559
1225,3569
1226,3574
1227,3576
1228,3578
1229,3579
1230,3580
1231,3581
1232,3582
1233,3583
1234,3584
1235,3587
1236,3588
1237,3589
1238,3590
1239,3591
1240,3592
1241,3593
1242,3594
1243,3595
1244,3596
1245,3597
1246,3598
1247,3599
1248,3600
1249,3601
1250,3602
1251,3603
1252,3604
1253,3605
1254,3606
1255,3607
1256,3608
1257,3609
1258,3610
1259,3611
1260,3612
1261,3613
1262,3614
1263,3615
1264,3616
1265,3617
1266,3618
1267,3619
1268,3620
1269,3621
1270,3622
1271,3623
1272,3624
1273,3625
1274,3626
1275,3627
1276,3628
1277,3629
1278,3630
1279,3632
1280,3636
1281,3637
1282,3638
1283,3639
1284,3640
1285,3641
1286,3642
1287,3643
1288,3644
1289,3645
1290,3646
1291,3647
1292,3648
1293,3649
1294,3650
1295,3651
1296,3652
1297,3653
1298,3655
1299,3656
1300,3657
1301,3658
1302,3660
1303,3663
1304,3664
1305,3665
1306,3669
1307,3670
1308,3672
1309,3683
1310,3685
1311,3687
1312,3688
1313,3693
1314,3715
1315,3716
1316,3762
1317,3782
1318,3783
1319,3784
1320,3785
1321,3786
1322,3787
1323,3788
1324,3790
1325,3791
1326,3792
1327,3793
1328,3794
1329,3795
1330,3796
1331,3797
1332,3799
1333,3801
1334,3803
1335,3826
1336,3827
1337,3828
1338,3829
1339,3830
1340,3831
1341,3832
1342,3833
1343,3834
1344,3835
1345,3836
1346,3837
1347,3838
1348,3839
1349,3840
1350,3841
1351,3842
1352,3843
1353,3844
1354,3845
1355,3846
1356,3847
1357,3848
1358,3849
1359,3850
1360,3851
1361,3852
1362,3853
1363,3854
1364,3855
1365,3856
1366,3857
1367,3858
1368,3859
1369,3860
1370,3861
1371,3862
1372,3863
1373,3864
1374,3865
1375,3866
1376,3867
1377,3868
1378,3869
1379,3870
1380,3871
1381,3872
1382,3873
1383,3874
1384,3875
1385,3876
1386,3877
1387,3878
1388,3879
1389,3880
1390,3881
1391,3882
1392,3883
1393,3884
1394,3885
1395,3886
1396,3887
1397,3888
1398,3889
1399,3890
1400,3891
1401,3892
1402,3893
1403,3894
1404,3895
1405,3896
1406,3897
1407,3898
1408,3899
1409,3900
1410,3901
1411,3902
1412,3903
1413,3904
1414,3905
1415,3906
1416,3907
1417,3908
1418,3909
1419,3910
1420,3911
1421,3912
1422,3913
1423,3914
1424,3915
1425,3916
1426,3917
1427,3918
1428,3919
1429,3920
1430,3921
1431,3922
1432,3923
1433,3924
1434,3925
1435,3926
1436,3927
1437,3928
1438,3929
1439,3930
1440,3931
1441,3932
1442,3933
1443,3934
1444,3935
1445,3936
1446,3937
1447,3938
1448,3939
1449,3940
1450,3941
1451,3942
1452,3943
1453,3944
1454,3945
1455,3946
1456,3947
1457,3948
1458,3949
1459,3950
1460,3951
1461,3952
1462,3953
1463,3954
1464,3955
1465,3956
1466,3957
1467,3958
1468,3959
1469,3960
1470,3961
1471,3962
1472,3963
1473,3964
1474,3965
1475,3966
1476,3967
1477,3968
1478,3969
1479,3970
1480,3971
1481,3972
1482,3973
1483,3974
1484,3975
1485,3976
1486,3977
1487,3978
1488,3979
1489,3980
1490,3981
1491,3982
1492,3983
1493,3984
1494,3985
1495,3986
1496,3987
1497,3988
1498,3989
1499,3990
1500,3991
1501,3992
1502,3993
1503,3994
1504,3995
1505,3996
1506,3997
1507,3998
1508,3999
1509,4000
1510,4001
1511,4002
1512,4003
1513,4004
1514,4005
1515,4006
1516,4007
1517,4008
1518,4009
1519,4010
1520,4011
1521,4012
1522,4013
1523,4014
1524,4015
1525,4016
1526,4017
1527,4018
1528,4019
1529,4020
1530,4021
1531,4022
1532,4023
1533,4024
1534,4025
1535,4026
1536,4027
1537,4028
1538,4029
1539,4030
1540,4031
1541,4032
1542,4033
1543,4034
1544,4035
1545,4036
1546,4037
1547,4038
1548,4039
1549,4040
1550,4041
1551,4042
1552,4043
1553,4044
1554,4045
1555,4046
1556,4047
1557,4048
1558,4049
1559,4050
1560,4051
1561,4052
1562,4053
1563,4054
1564,4055
1565,4056
1566,4057
1567,4058
1568,4059
1569,4060
1570,4061
1571,4062
1572,4063
1573,4064
1574,4065
1575,4066
1576,4067
1577,4068
1578,4069
1579,4070
1580,4071
1581,4072
1582,4073
1583,4074
1584,4075
1585,4076
1586,4077
1587,4078
1588,4079
1589,4080
1590,4081
1591,4082
1592,4083
1593,4084
1594,4085
1595,4086
1596,4087
1597,4088
1598,4089
1599,4090
1600,4091
1601,4092
1602,4093
1603,4094
1604,4095
1605,4096
